,stNo,stNam,Lon,Lat,county,address,altitude
478,C0Z230,和平,121.77007,24.30717,花蓮縣,秀林鄉克來寶段399地號(和平工業港安檢所綠洲分隊),31.0
479,C0Z250,瑞穗林道,121.30688,23.49284,花蓮縣,卓溪鄉瑞穗林道約7.5K瑞欣礦區下方空地,1124.0
480,C0Z270,蕃薯寮,121.540108,23.73835,花蓮縣,壽豐鄉水璉村蕃薯寮附近山區道路旁(牛山段607地號內),343.0
481,C0Z280,德武,121.41071,23.47426,花蓮縣,玉里鎮德武里附近山區道路旁(德武段680地號內),224.0
482,C0Z290,赤柯山,121.38293,23.36893,花蓮縣,玉里鎮赤柯山段338地號,946.0
483,C0Z300,東里,121.30547,23.26853,花蓮縣,富里鄉東里村大莊路52號(東里消防分隊),182.0
484,C0Z310,清水斷崖,121.689142,24.218294,花蓮縣,秀林鄉臺9線大清水遊憩區下方空地,59.0
485,C0Z320,清水林道,121.188272,23.27125,花蓮縣,卓溪鄉清水林道北側山區(新生段1地號),646.0
486,C0Z330,安通山,121.348528,23.290728,花蓮縣,玉里鎮安通產業道路附近山區,488.0
487,C1A630,下盆,121.538622,24.771003,新北市,烏來區東勢溪中游(步行一小時),527.0
488,C1A750,石碇服務區,121.646242,25.00872,新北市,新北市石碇區文山路一段2號,92.0
489,C1A760,坪林交控,121.713442,24.94284,新北市,新北市坪林區坪雙路一段52號,217.0
490,C1A9N0,四十份,121.593283,24.934158,新北市,新店區北宜路旁(文山事業區第四林班),435.0
491,C1AC50,關渡,121.469331,25.133486,臺北市,北投區學園路2號(臺北城市科技大學校園內5樓頂),111.0
492,C1AI50,國三N016K,121.619664,25.034164,臺北市,國道3號北向16.51K,64.0
493,C1AI60,國一N039K,121.383836,25.064361,新北市,國道1號北向39.32K,181.0
494,C1C510,水尾,121.087161,24.940081,桃園市,楊梅區豐野里1鄰151號(富崗水尾工作站內),106.0
495,C1D380,新埔,121.03834,24.84745,新竹縣,新埔鎮下寮里43號義民廟右方路旁,65.0
496,C1D400,鳥嘴山,121.28387,24.71909,新竹縣,尖石鄉新樂村復興礦場,839.0
497,C1D410,白蘭,121.079947,24.579364,新竹縣,五峰鄉桃山村,1290.0
498,C1D420,太閣南,121.160575,24.632808,新竹縣,五峰鄉羅山工作站後方山頂羅山瞭望台旁,1279.0
499,C1D630,飛鳳山,121.119178,24.766464,新竹縣,芎林鄉王爺坑段83-7號地,462.0
500,C1D640,外坪(五指山),121.090961,24.644447,新竹縣,北埔鄉大坪段內大坪小段36-54號地,718.0
501,C1E451,象鼻,120.940228,24.368617,苗栗縣,泰安鄉象鼻村,950.0
502,C1E461,松安,120.986022,24.397972,苗栗縣,泰安鄉雪霸國家公園二本松解說站旁,1325.0
503,C1E480,鳳美,121.034747,24.554803,苗栗縣,南庄鄉東河村24鄰石門1號(南庄往鹿場途中),576.0
504,C1E511,新開,120.827019,24.347703,苗栗縣,大湖鄉新開村新開4鄰20號旁,326.0
505,C1E601,南勢,120.734842,24.572486,苗栗縣,後龍鎮南港里南勢山,125.0
506,C1E670,南礦,121.002836,24.538278,苗栗縣,南庄鄉蓬萊林道末端(南庄事業區18林班地),1209.0
507,C1E681,南勢山,120.923831,24.421669,苗栗縣,泰安鄉大興村(從泰安國小進入站址車程約10分鐘),977.0
508,C1E691,南湖,120.837533,24.40135,苗栗縣,大湖鄉(位於南湖台3線135k處之吊樑道山上),786.0
509,C1E701,八卦,120.927619,24.491756,苗栗縣,泰安鄉(與八卦派出所相距約1.2k處),737.0
510,C1E711,馬拉邦山,120.901656,24.367306,苗栗縣,大湖鄉東興村(馬拉邦山登山口),990.0
511,C1E721,泰安,120.968036,24.489017,苗栗縣,泰安鄉橫龍古道上(走路約5分鐘)之大湖事業區18林班地,1409.0
512,C1E770,公館,120.830806,24.526914,苗栗縣,公館鄉鶴岡村178號(鶴岡國中),83.0
513,C1E890,國三N149K,120.680019,24.463414,苗栗縣,國道3號北向149K,53.0
514,C1E900,國一N128K,120.844186,24.560997,苗栗縣,國道1號北向128K,80.0
515,C1F871,上谷關,121.018644,24.203483,臺中市,和平區(博愛國小谷關分校附近),1000.0
516,C1F891,稍來,121.001142,24.265689,臺中市,和平區八仙山事業區49林班地船型山苗圃廢棄觀測坪附近,2205.0
517,C1F911,新伯公,120.841069,24.221361,臺中市,東勢區詒福段163地號(台電公司門前右前方),417.0
518,C1F941,雪嶺,121.026642,24.280586,臺中市,和平區雪嶺地區八仙山事業區60林班地小雪山莊後方水塔後山頂,2620.0
519,C1F9B1,桐林,120.735194,24.066172,臺中市,霧峰區桐林里民生路(桐林國小斜對面),130.0
520,C1F9C1,白冷,120.929889,24.182844,臺中市,和平區天輪里天輪巷42號(臺中市和平區白冷國民小學校園內),610.0
521,C1F9D1,白毛台,120.886933,24.158325,臺中市,新社區福興里福民路13號旁,639.0
522,C1F9E1,龍安,120.831961,24.1605,臺中市,新社區中和里內(距龍安橋約1.2k處),563.0
523,C1F9F1,伯公龍,120.849047,24.272392,臺中市,東勢區勢林街(宏覺寺旁),500.0
524,C1F9G1,慶福山,120.848378,24.180853,臺中市,東勢區(台8線10.5k往馬鞍農場方向.車程約半小時),810.0
525,C1F9J1,清水林,120.820419,24.071242,臺中市,太平區136縣道9.5k處旁約500公尺,723.0
526,C1F9W0,德基,121.190261,24.254783,臺中市,和平區台8甲線69-70k處，彎入勝利路接翠巒產業道路約6.2km，路邊白色水塔旁,1970.0
527,C1G691,下水埔,120.5676,23.816114,彰化縣,溪州鄉大莊國小(大庄村中橫巷1號),110.0
528,C1G9D0,國一S218K,120.493253,23.890641,彰化縣,國道1號南向218.3K,30.0
529,C1H000,翠峰,121.205211,24.109397,南投縣,仁愛鄉翠峰段30地號東側旁(臺14甲線19-19.5k處的長途通信機房旁),2454.0
530,C1H840,國三N238K,120.707711,23.841008,南投縣,國道3號北向238.2K,231.0
531,C1H860,瑞岩,121.18345,24.123772,南投縣,仁愛鄉,1840.0
532,C1H900,清流,120.962997,24.080775,南投縣,仁愛鄉互助村,934.0
533,C1H920,長豐,120.879897,24.102039,南投縣,國姓鄉長豐村東二巷71號(仙徠山莊內),736.0
534,C1H941,雙冬,120.802189,23.967378,南投縣,草屯鎮雙冬里,630.0
535,C1H971,六分寮,120.6378,23.92507,南投縣,南投市鳳鳴里八卦路831號(南投縣政府消防局第一大隊鳳鳴分隊),428.0
536,C1H9B1,阿眉,120.994672,24.1263,南投縣,仁愛鄉(水利局雨量站旁),1710.0
537,C1I020,萬大,121.132261,23.979817,南投縣,仁愛鄉親愛村萬大水庫宿舍旁,1120.0
538,C1I030,武界,121.052483,23.913225,南投縣,仁愛鄉法治村,948.0
539,C1I050,丹大,121.141147,23.753747,南投縣,信義鄉丹大事業區第十七林班地(瞭望台旁),2568.0
540,C1I070,和社,120.888861,23.591131,南投縣,信義鄉中橫同富村同和巷47號和社分社觀測坪內,825.0
541,C1I101,溪頭,120.807647,23.661789,南投縣,鹿谷鄉內湖村森林巷溪頭林營區(鳳凰山瞭望台旁),1810.0
542,C1I121,大鞍,120.760017,23.678381,南投縣,竹山鎮樟空倫山之三角點附近,1515.0
543,C1I131,桶頭,120.654117,23.641944,南投縣,竹山鎮鯉南路338號旁,311.0
544,C1I140,卡奈托灣,121.087872,23.754364,南投縣,信義鄉丹大事業區第16林班地,1700.0
545,C1I150,青雲,120.949378,23.793361,南投縣,信義鄉地利村5鄰開信巷98-3號旁,393.0
546,C1I201,中心崙,120.712097,23.728722,南投縣,竹山鎮之中心崙林道4.1km處,677.0
547,C1I211,蘆竹湳,120.811994,23.934019,南投縣,中寮鄉清水村龍林巷4鄰58之6號旁,529.0
548,C1I220,樟湖,120.846983,23.905333,南投縣,國姓鄉147縣道9km處與站址直線距離約1.6km,1098.0
549,C1I230,九份二山,120.845,23.961944,南投縣,國姓鄉南港村九份二山上(921地震紀念公園內),837.0
550,C1I240,外大坪,120.917931,23.958697,南投縣,埔里鎮種瓜路(投68)路口至站址車程約20分鐘,725.0
551,C1I250,鯉潭,120.991131,23.961922,南投縣,埔里鎮埔里高工旁中心路2km處,732.0
552,C1I260,北坑,121.006903,23.9246,南投縣,埔里鎮麒麟里4鄰武界路31號旁,601.0
553,C1I280,埔中,120.642594,23.820778,南投縣,名間鄉埔中村11之3號後面,439.0
554,C1I290,豐丘,120.887417,23.668178,南投縣,信義鄉豐丘村豐丘產業道路末端,1151.0
555,C1I310,西巒,120.883956,23.754486,南投縣,信義鄉台21線道之人倫林道9.5k處,1033.0
556,C1I320,奧萬大,121.178556,23.952956,南投縣,仁愛鄉奧萬大森林遊樂區內(員工宿舍),1275.0
557,C1I330,楓樹林,121.076117,23.986803,南投縣,仁愛鄉埔里事業區107林班地(臺14線近埔里市區),1266.0
558,C1I340,新興橋,120.868728,23.563333,南投縣,信義鄉臺21線新興橋附近,897.0
559,C1I400,凌霄,121.004456,24.018778,南投縣,仁愛鄉守城段4地號,1399.0
560,C1I430,翠華,121.224339,24.191961,南投縣,仁愛鄉翠華村華岡段70地號內,2415.0
561,C1I440,新高口,120.878939,23.478744,南投縣,信義鄉新高口(臺18線約107.5k處路旁，對高岳營林區第31林班446號林地內),2540.0
562,C1I450,望鄉山,120.944286,23.594153,南投縣,信義鄉巒大事業區第131林班內(郡大林道約32K附近，望鄉山三角點旁),3025.0
563,C1I470,杉林溪,120.786444,23.639517,南投縣,竹山鎮大鞍里(杉林溪森林生態渡假園區收費亭附近，向欣谷碑旁),1680.0
564,C1I500,大尖山,120.994889,23.858572,南投縣,仁愛鄉大尖山,2017.0
565,C1I510,線浸林道,120.832956,23.761508,南投縣,鹿谷鄉線浸林道11k附近,1208.0
566,C1I550,國六W023K,120.867742,23.979067,南投縣,國道6號西向23.7K,373.0
567,C1K540,口湖,120.180517,23.585344,雲林縣,口湖鄉口湖村中正路一段280號(口湖消防分隊),15.0
568,C1M390,龍美,120.654417,23.406728,嘉義縣,番路鄉公興村隆美地區(舊地名為瀨頭)私人茶園內,1090.0
569,C1M400,菜瓜坪,120.576103,23.251928,嘉義縣,大埔鄉西興村,369.0
570,C1M480,獨立山,120.607797,23.537022,嘉義縣,竹崎鄉(獨立山三角點旁),840.0
571,C1M600,頭凍,120.603339,23.406364,嘉義縣,番路鄉阿里山公路23k處轉入興社產業道路盡頭,986.0
572,C1M610,石磐龍,120.663506,23.496606,嘉義縣,竹崎鄉光華村,1083.0
573,C1M620,瑞里,120.675197,23.545133,嘉義縣,梅山鄉瑞里派出所旁小路至站址(公墓旁)車程約10分鐘,1252.0
574,C1M640,十字,120.753683,23.492153,嘉義縣,阿里山鄉十字村16號（十字國小樓頂）,1567.0
575,C1M870,國三N285K,120.505833,23.550319,嘉義縣,國道3號北向285K,121.0
576,C1N001,沙崙,120.309406,22.935472,臺南市,歸仁區沙崙里184號北沙崙農場,24.0
577,C1O850,環湖,120.418633,23.148617,臺南市,大內區頭社里10號(大內國小鳴頭分校內),44.0
578,C1O870,大棟山,120.52226,23.31157,臺南市,白河區大棟山三角點,1249.0
579,C1O880,關山,120.594092,23.173397,臺南市,南化區關山里西阿里關83號(瑞峰國小附近),223.0
580,C1O921,楠西,120.484083,23.183511,臺南市,楠西區中興路107號(楠西國民中學內),115.0
581,C1O940,東山服務區,120.398472,23.286016,臺南市,國道3號北向319.9K,55.0
582,C1R110,口社,120.645222,22.770111,屏東縣,三地門鄉口社村5鄰信義巷58-5號,110.0
583,C1R120,上德文,120.704442,22.763272,屏東縣,三地門鄉德文村口之公墓旁,820.0
584,C1R250,力里,120.629228,22.428117,屏東縣,春日鄉七佳村自強一路92號(力里國民小學內),92.0
585,C1R290,石門山,120.756597,22.112611,屏東縣,牡丹鄉石門古戰場(恆春事業區29林班地),260.0
586,C1R610,西大武山,120.7322,22.617719,屏東縣,泰武鄉北大武山步道2.6k,1828.0
587,C1R630,龍泉,120.59091,22.66701,屏東縣,內埔鄉大新路109號（屏東縣新生國民小學）,60.0
588,C1S670,摩天,121.027,23.199503,臺東縣,海端鄉(省道臺20線169K福德宮後方),1580.0
589,C1S800,華源,121.02325,22.657883,臺東縣,太麻里鄉華源村,80.0
590,C1S820,金峰,120.933236,22.590969,臺東縣,金峰鄉嘉蘭村嘉蘭國小旁,177.0
591,C1S850,豐南,121.262389,23.122139,花蓮縣,富里鄉豐南村花82縣道盡頭叉路1k旁,489.0
592,C1S860,利嘉,121.050528,22.809417,臺東縣,卑南鄉利嘉林道6k附近梅子園,516.0
593,C1S870,南美山,121.382333,23.15025,臺東縣,成功鎮南美山產業道路盡頭柑橘園,222.0
594,C1S880,壽卡,120.858903,22.238911,臺東縣,達仁鄉(大武事業區第48林班內)電信轉播站後方,474.0
595,C1SA50,利嘉林道,121.009389,22.82325,臺東縣,臺東縣卑南鄉利嘉林道17K處,1235.0
596,C1SA70,都蘭,121.226881,22.87794,臺東縣,東河鄉都蘭村431號(都蘭國民小學教室頂樓),62.0
597,C1T800,洛韶,121.453956,24.204558,花蓮縣,秀林鄉富世村中橫公路洛韶11號旁,1260.0
598,C1T810,慈恩,121.388386,24.192044,花蓮縣,秀林鄉富世村關原路3號(救國團慈恩山莊),2049.0
599,C1T830,布洛灣,121.57127,24.17184,花蓮縣,秀林鄉布洛灣地區(布洛灣遊客中心圓環之廣場旁邊),675.0
600,C1T920,中興,121.498653,23.769503,花蓮縣,壽豐鄉中興大橋橋頭旁,68.0
601,C1T940,大觀,121.373133,23.714206,花蓮縣,萬榮鄉(往臺16線過管制哨約12k處),539.0
602,C1T950,太安,121.370128,23.666719,花蓮縣,萬榮鄉太田事業區128林班地(馬太鞍苗圃),1050.0
603,C1T970,大農,121.413331,23.615233,花蓮縣,光復鄉花蓮糖廠之大農農場內(大農段691號),183.0
604,C1T980,龍澗,121.411328,24.023289,花蓮縣,秀林鄉龍澗發電廠旁,1306.0
605,C1T990,高寮,121.356808,23.394239,花蓮縣,玉里鎮觀音里15鄰9號(觀音國民小學校園內),128.0
606,C1TA00,太魯閣,121.6236,24.15773,花蓮縣,秀林鄉富世291號（太魯閣國家公園管理處內）,94.0
607,C1U501,牛鬥,121.573656,24.637836,宜蘭縣,大同鄉牛鬥地區,280.0
608,C1U670,寒溪,121.71691,24.634,宜蘭縣,冬山鄉大進村大進七路51號(大進國民小學校園內),105.0
